skill_id,skill_name,high_priority_gap,event_timestamp
1,Python,0,2026-05-31 06:13:14.936640
2,Java,0,2026-06-22 06:13:14.936747
3,C++,0,2026-06-26 06:13:14.936779
4,JavaScript,0,2026-06-13 06:13:14.936802
5,SQL,0,2026-07-06 06:13:14.936823
6,Go,0,2026-07-01 06:13:14.936843
7,TypeScript,0,2026-08-08 06:13:14.936862
8,R,0,2026-07-31 06:13:14.936881
9,Shell Scripting,0,2026-07-21 06:13:14.936901
10,Rust,0,2026-07-30 06:13:14.936920
11,Machine Learning,0,2026-07-04 06:13:14.936940
12,Deep Learning,1,2026-07-08 06:13:14.936961
13,Data Visualization,0,2026-08-13 06:13:14.936978
14,Statistics,0,2026-05-29 06:13:14.937006
15,Pandas/NumPy,0,2026-07-30 06:13:14.937025
16,Feature Engineering,0,2026-05-20 06:13:14.937044
17,NLP,0,2026-05-22 06:13:14.937073
18,Computer Vision,0,2026-07-18 06:13:14.937097
19,MLOps,0,2026-07-01 06:13:14.937122
20,A/B Testing,0,2026-06-23 06:13:14.937202
21,AWS,1,2026-06-21 06:13:14.937229
22,Azure,1,2026-06-22 06:13:14.937254
23,GCP,0,2026-07-07 06:13:14.937278
24,Docker,0,2026-07-29 06:13:14.937303
25,Kubernetes,0,2026-07-26 06:13:14.937328
26,CI/CD,1,2026-07-06 06:13:14.937353
27,Terraform,0,2026-06-15 06:13:14.937378
28,Linux Administration,0,2026-07-26 06:13:14.937402
29,Git/Version Control,1,2026-06-03 06:13:14.937426
30,Monitoring & Logging,0,2026-05-17 06:13:14.937450
31,Network Security,1,2026-07-12 06:13:14.937474
32,Penetration Testing,1,2026-06-08 06:13:14.937498
33,Cryptography,0,2026-07-07 06:13:14.937522
34,Cloud Security,0,2026-07-24 06:13:14.937547
35,Identity & Access Management,0,2026-07-10 06:13:14.937566
36,Security Compliance,1,2026-07-08 06:13:14.937583
37,Incident Response,0,2026-06-08 06:13:14.937600
38,Application Security,0,2026-06-29 06:13:14.937617
39,Threat Modeling,1,2026-07-02 06:13:14.937634
40,SOC Operations,0,2026-06-25 06:13:14.937651
41,Communication,0,2026-05-30 06:13:14.937668
42,Teamwork,0,2026-06-17 06:13:14.937685
43,Problem Solving,0,2026-08-06 06:13:14.937702
44,Time Management,0,2026-06-28 06:13:14.937719
45,Leadership,0,2026-05-16 06:13:14.937736
46,Adaptability,0,2026-07-11 06:13:14.937795
47,Critical Thinking,0,2026-06-08 06:13:14.937815
48,Presentation Skills,0,2026-05-16 06:13:14.937835
49,Conflict Resolution,0,2026-06-06 06:13:14.937854
50,Agile Collaboration,1,2026-08-10 06:13:14.937874
51,Generative AI,1,2026-07-12 06:13:14.937892
52,LLM Fine-tuning,0,2026-07-12 06:13:14.937911
53,Prompt Engineering,0,2026-07-10 06:13:14.937930
54,Blockchain,1,2026-07-11 06:13:14.937949
55,IoT,1,2026-07-09 06:13:14.937969
56,Edge Computing,0,2026-07-21 06:13:14.937986
57,AR/VR,0,2026-07-15 06:13:14.938003
58,Quantum Computing Basics,0,2026-06-16 06:13:14.938020
59,Robotics,1,2026-06-06 06:13:14.938038
60,Web3,1,2026-07-22 06:13:14.938055
