skill_id,skill_name,category,curriculum_hours,curriculum_coverage_score,num_job_postings,industry_demand_score,avg_salary_premium_pct,event_timestamp
1,Python,Programming,33,62.93,821,76.32,18.14,2026-05-31 06:13:14.936640
2,Java,Programming,27,34.84,536,60.5,11.41,2026-06-22 06:13:14.936747
3,C++,Programming,24,57.12,517,42.06,0.07,2026-06-26 06:13:14.936779
4,JavaScript,Programming,37,28.41,810,51.49,12.22,2026-06-13 06:13:14.936802
5,SQL,Programming,30,43.63,523,56.55,9.53,2026-07-06 06:13:14.936823
6,Go,Programming,32,34.6,939,65.91,12.07,2026-07-01 06:13:14.936843
7,TypeScript,Programming,25,64.92,602,60.45,10.05,2026-08-08 06:13:14.936862
8,R,Programming,38,69.84,311,24.5,1.95,2026-07-31 06:13:14.936881
9,Shell Scripting,Programming,22,82.83,856,92.18,24.1,2026-07-21 06:13:14.936901
10,Rust,Programming,42,44.8,439,39.17,10.33,2026-07-30 06:13:14.936920
11,Machine Learning,Data Science,5,24.5,999,57.31,16.23,2026-07-04 06:13:14.936940
12,Deep Learning,Data Science,30,31.55,812,90.57,18.15,2026-07-08 06:13:14.936961
13,Data Visualization,Data Science,26,65.34,821,84.05,22.46,2026-08-13 06:13:14.936978
14,Statistics,Data Science,15,30.99,1036,61.39,16.68,2026-05-29 06:13:14.937006
15,Pandas/NumPy,Data Science,21,43.3,1498,55.65,10.78,2026-07-30 06:13:14.937025
16,Feature Engineering,Data Science,23,33.16,1025,67.03,15.05,2026-05-20 06:13:14.937044
17,NLP,Data Science,22,58.45,687,65.57,10.46,2026-05-22 06:13:14.937073
18,Computer Vision,Data Science,18,46.46,1082,60.17,13.73,2026-07-18 06:13:14.937097
19,MLOps,Data Science,30,40.62,176,74.84,17.13,2026-07-01 06:13:14.937122
20,A/B Testing,Data Science,18,35.01,711,74.22,12.72,2026-06-23 06:13:14.937202
21,AWS,Cloud & DevOps,15,28.88,420,74.63,18.9,2026-06-21 06:13:14.937229
22,Azure,Cloud & DevOps,33,28.8,839,95.07,28.03,2026-06-22 06:13:14.937254
23,GCP,Cloud & DevOps,16,29.89,1091,58.9,11.62,2026-07-07 06:13:14.937278
24,Docker,Cloud & DevOps,19,51.04,549,83.22,29.57,2026-07-29 06:13:14.937303
25,Kubernetes,Cloud & DevOps,9,43.85,1326,87.23,21.84,2026-07-26 06:13:14.937328
26,CI/CD,Cloud & DevOps,10,19.2,832,72.99,20.72,2026-07-06 06:13:14.937353
27,Terraform,Cloud & DevOps,7,25.17,1103,57.77,15.35,2026-06-15 06:13:14.937378
28,Linux Administration,Cloud & DevOps,24,30.94,1025,72.94,18.96,2026-07-26 06:13:14.937402
29,Git/Version Control,Cloud & DevOps,17,34.45,962,79.85,17.24,2026-06-03 06:13:14.937426
30,Monitoring & Logging,Cloud & DevOps,15,39.8,1175,49.1,16.95,2026-05-17 06:13:14.937450
31,Network Security,Cybersecurity,12,6.75,1042,83.55,23.83,2026-07-12 06:13:14.937474
32,Penetration Testing,Cybersecurity,3,5.05,773,83.8,18.01,2026-06-08 06:13:14.937498
33,Cryptography,Cybersecurity,17,53.45,718,54.45,10.05,2026-07-07 06:13:14.937522
34,Cloud Security,Cybersecurity,4,24.83,883,63.03,19.25,2026-07-24 06:13:14.937547
35,Identity & Access Management,Cybersecurity,33,26.41,428,64.52,12.28,2026-07-10 06:13:14.937566
36,Security Compliance,Cybersecurity,19,24.83,827,73.5,16.98,2026-07-08 06:13:14.937583
37,Incident Response,Cybersecurity,10,36.11,666,75.88,23.15,2026-06-08 06:13:14.937600
38,Application Security,Cybersecurity,8,28.21,468,67.42,18.4,2026-06-29 06:13:14.937617
39,Threat Modeling,Cybersecurity,13,12.87,1044,65.72,19.92,2026-07-02 06:13:14.937634
40,SOC Operations,Cybersecurity,19,31.75,1224,55.66,7.15,2026-06-25 06:13:14.937651
41,Communication,Soft Skills,29,98.0,742,65.9,20.29,2026-05-30 06:13:14.937668
42,Teamwork,Soft Skills,30,31.59,1100,33.2,13.11,2026-06-17 06:13:14.937685
43,Problem Solving,Soft Skills,10,60.36,496,51.12,9.21,2026-08-06 06:13:14.937702
44,Time Management,Soft Skills,22,44.27,769,39.77,10.81,2026-06-28 06:13:14.937719
