skill_id,skill_name,high_priority_gap,event_timestamp,curriculum_hours,curriculum_coverage_score,industry_demand_score,num_job_postings,avg_salary_premium_pct,curriculum_coverage_norm,industry_demand_norm,demand_supply_gap,gap_score,job_postings_log,category
45,Leadership,0,2026-05-16 06:13:14.937736+00:00,18,61.33,22.13,273,2.1,0.6133,0.2213,-0.39199999999999996,-39.2,5.6131,Soft Skills
48,Presentation Skills,0,2026-05-16 06:13:14.937835+00:00,40,44.04,46.68,280,19.16,0.4404,0.4668,0.02639999999999998,2.64,5.6384,Soft Skills
30,Monitoring & Logging,0,2026-05-17 06:13:14.937450+00:00,15,39.8,49.1,1175,16.95,0.39799999999999996,0.491,0.09300000000000003,9.3,7.0699,Cloud & DevOps
16,Feature Engineering,0,2026-05-20 06:13:14.937044+00:00,23,33.16,67.03,1025,15.05,0.33159999999999995,0.6703,0.33870000000000006,33.87,6.9334,Data Science
17,NLP,0,2026-05-22 06:13:14.937073+00:00,22,58.45,65.57,687,10.46,0.5845,0.6557,0.07119999999999993,7.12,6.5338,Data Science
14,Statistics,0,2026-05-29 06:13:14.937006+00:00,15,30.99,61.39,1036,16.68,0.3099,0.6139,0.304,30.4,6.9441,Data Science
41,Communication,0,2026-05-30 06:13:14.937668+00:00,29,98.0,65.9,742,20.29,0.98,0.659,-0.32099999999999995,-32.1,6.6107,Soft Skills
1,Python,0,2026-05-31 06:13:14.936640+00:00,33,62.93,76.32,821,18.14,0.6293,0.7631999999999999,0.1338999999999999,13.39,6.7117,Programming
29,Git/Version Control,1,2026-06-03 06:13:14.937426+00:00,17,34.45,79.85,962,17.24,0.34450000000000003,0.7985,0.45399999999999996,45.4,6.8701,Cloud & DevOps
49,Conflict Resolution,0,2026-06-06 06:13:14.937854+00:00,30,64.0,20.69,479,3.49,0.64,0.2069,-0.43310000000000004,-43.31,6.1738,Soft Skills
59,Robotics,1,2026-06-06 06:13:14.938038+00:00,9,13.13,88.35,669,18.67,0.1313,0.8835,0.7522,75.22,6.5073,Emerging Tech
32,Penetration Testing,1,2026-06-08 06:13:14.937498+00:00,3,5.05,83.8,773,18.01,0.050499999999999996,0.838,0.7875,78.75,6.6516,Cybersecurity
37,Incident Response,0,2026-06-08 06:13:14.937600+00:00,10,36.11,75.88,666,23.15,0.3611,0.7587999999999999,0.39769999999999994,39.77,6.5028,Cybersecurity
47,Critical Thinking,0,2026-06-08 06:13:14.937815+00:00,22,51.93,81.43,667,17.21,0.5193,0.8143,0.29500000000000004,29.5,6.5043,Soft Skills
4,JavaScript,0,2026-06-13 06:13:14.936802+00:00,37,28.41,51.49,810,12.22,0.2841,0.5149,0.2308,23.08,6.6983,Programming
27,Terraform,0,2026-06-15 06:13:14.937378+00:00,7,25.17,57.77,1103,15.35,0.25170000000000003,0.5777,0.32599999999999996,32.6,7.0067,Cloud & DevOps
58,Quantum Computing Basics,0,2026-06-16 06:13:14.938020+00:00,13,15.18,52.68,952,16.97,0.1518,0.5268,0.37500000000000006,37.5,6.8596,Emerging Tech
42,Teamwork,0,2026-06-17 06:13:14.937685+00:00,30,31.59,33.2,1100,13.11,0.3159,0.332,0.016100000000000003,1.61,7.004,Soft Skills
21,AWS,1,2026-06-21 06:13:14.937229+00:00,15,28.88,74.63,420,18.9,0.2888,0.7463,0.45749999999999996,45.75,6.0426,Cloud & DevOps
2,Java,0,2026-06-22 06:13:14.936747+00:00,27,34.84,60.5,536,11.41,0.34840000000000004,0.605,0.25659999999999994,25.66,6.286,Programming
22,Azure,1,2026-06-22 06:13:14.937254+00:00,33,28.8,95.07,839,28.03,0.28800000000000003,0.9506999999999999,0.6626999999999998,66.27,6.7334,Cloud & DevOps
20,A/B Testing,0,2026-06-23 06:13:14.937202+00:00,18,35.01,74.22,711,12.72,0.35009999999999997,0.7422,0.3921,39.21,6.5681,Data Science
40,SOC Operations,0,2026-06-25 06:13:14.937651+00:00,19,31.75,55.66,1224,7.15,0.3175,0.5566,0.23909999999999998,23.91,7.1107,Cybersecurity
3,C++,0,2026-06-26 06:13:14.936779+00:00,24,57.12,42.06,517,0.07,0.5711999999999999,0.42060000000000003,-0.1505999999999999,-15.06,6.25,Programming
44,Time Management,0,2026-06-28 06:13:14.937719+00:00,22,44.27,39.77,769,10.81,0.44270000000000004,0.39770000000000005,-0.044999999999999984,-4.5,6.6464,Soft Skills
38,Application Security,0,2026-06-29 06:13:14.937617+00:00,8,28.21,67.42,468,18.4,0.2821,0.6742,0.3921,39.21,6.1506,Cybersecurity
6,Go,0,2026-07-01 06:13:14.936843+00:00,32,34.6,65.91,939,12.07,0.34600000000000003,0.6591,0.3131,31.31,6.8459,Programming
19,MLOps,0,2026-07-01 06:13:14.937122+00:00,30,40.62,74.84,176,17.13,0.40619999999999995,0.7484000000000001,0.3422000000000001,34.22,5.1761,Data Science
39,Threat Modeling,1,2026-07-02 06:13:14.937634+00:00,13,12.87,65.72,1044,19.92,0.12869999999999998,0.6572,0.5285,52.85,6.9518,Cybersecurity
11,Machine Learning,0,2026-07-04 06:13:14.936940+00:00,5,24.5,57.31,999,16.23,0.245,0.5731,0.32810000000000006,32.81,6.9078,Data Science
5,SQL,0,2026-07-06 06:13:14.936823+00:00,30,43.63,56.55,523,9.53,0.4363,0.5655,0.12919999999999998,12.92,6.2615,Programming
26,CI/CD,1,2026-07-06 06:13:14.937353+00:00,10,19.2,72.99,832,20.72,0.192,0.7299,0.5379,53.79,6.725,Cloud & DevOps
23,GCP,0,2026-07-07 06:13:14.937278+00:00,16,29.89,58.9,1091,11.62,0.2989,0.589,0.29009999999999997,29.01,6.9958,Cloud & DevOps
33,Cryptography,0,2026-07-07 06:13:14.937522+00:00,17,53.45,54.45,718,10.05,0.5345,0.5445,0.010000000000000009,1.0,6.5779,Cybersecurity
12,Deep Learning,1,2026-07-08 06:13:14.936961+00:00,30,31.55,90.57,812,18.15,0.3155,0.9057,0.5902,59.02,6.7007,Data Science
36,Security Compliance,1,2026-07-08 06:13:14.937583+00:00,19,24.83,73.5,827,16.98,0.2483,0.735,0.4867,48.67,6.719,Cybersecurity
55,IoT,1,2026-07-09 06:13:14.937969+00:00,6,2.0,78.57,459,21.44,0.02,0.7857,0.7656999999999999,76.57,6.1312,Emerging Tech
35,Identity & Access Management,0,2026-07-10 06:13:14.937566+00:00,33,26.41,64.52,428,12.28,0.2641,0.6452,0.3811,38.11,6.0615,Cybersecurity
53,Prompt Engineering,0,2026-07-10 06:13:14.937930+00:00,2,23.87,50.21,499,10.88,0.23870000000000002,0.5021,0.26339999999999997,26.34,6.2146,Emerging Tech
46,Adaptability,0,2026-07-11 06:13:14.937795+00:00,31,43.42,45.32,1015,10.06,0.43420000000000003,0.4532,0.01899999999999996,1.9,6.9236,Soft Skills
54,Blockchain,1,2026-07-11 06:13:14.937949+00:00,5,33.45,81.77,397,16.52,0.3345,0.8177,0.48319999999999996,48.32,5.9865,Emerging Tech
31,Network Security,1,2026-07-12 06:13:14.937474+00:00,12,6.75,83.55,1042,23.83,0.0675,0.8355,0.768,76.8,6.9499,Cybersecurity
51,Generative AI,1,2026-07-12 06:13:14.937892+00:00,11,17.22,67.44,1013,19.86,0.1722,0.6744,0.5022,50.22,6.9217,Emerging Tech
